purchase,salary
10367,193942
98440,188401
60779,154021
93662,103219
58251,81529
64454,94824
89975,71775
30569,104650
52821,96738
89703,137755
15101,77717
62074,138387
9574,111034
73187,179740
42091,136682
53867,87505
67640,141930
37836,125739
18205,193889
81148,187742
19782,77688
86208,124006
39531,195933
98957,101226
21843,196733
69727,106963
4216,199539
47638,90244
65483,147655
64433,64923
66992,115057
8218,71384
83945,75880
62621,114740
9174,117476
46127,70791
47536,113608
65492,98693
39458,114410
55976,86107
23616,134831
43729,73340
87258,131933
60191,96353
48322,165881
45803,55593
16624,75753
50949,153462
38600,103602
62473,184096
3828,109987
86453,151218
63805,161451
86685,121452
13310,85348
54319,102753
16098,196566
5724,130030
94820,146836
17950,192615
94808,147419
3710,116721
4441,129609
46621,172357
66422,83780
56477,195335
12606,57558
23869,181250
3929,116538
4255,160633
92136,64605
75288,181181
13895,65468
48728,195829
12815,98466
35688,63882
77246,94815
38183,105749
30880,67290
62842,129999
16594,102432
69843,182961
60093,172396
24117,89733
58338,193764
73810,67088
55188,107012
45165,175857
30174,158078
28477,67333
84942,136961
18583,106563
94134,183384
44712,126079
24826,60975
87352,108912
6325,127142
88642,193253
62512,114598
97996,68599
72450,181644
19739,144228
11658,100456
2626,112859
41937,199867
39110,164687
25634,162889
9881,187655
39798,199313
25906,176847
19861,68904
98636,97048
27347,105793
56926,143962
70475,143169
63963,62880
68725,114886
11307,153365
9785,171950
2812,142382
3891,57326
59557,157451
7695,146371
73194,141858
4188,136720
37868,145093
7212,111701
23191,170602
29318,146143
98934,87439
74809,175027
78378,64152
17617,144087
57596,161127
27072,60273
43951,136779
99196,105856
39034,148292
77607,94792
87291,104130
2507,86319
28565,73295
14191,194645
68555,63462
3756,120707
1582,67566
38710,136627
51029,148430
46813,175395
34824,92611
82686,76760
18597,102809
51968,141421
1301,135530
5347,68135
71527,164193
2189,123563
96310,146516
14723,108188
78658,82611
94387,191491
74546,122161
29103,119259
9569,199933
30783,89454
17442,181351
74880,130519
5391,159207
41003,158451
45152,110149
78492,139486
1769,165066
58985,172638
94483,119723
29618,123096
91551,98915
66476,97173
98096,137668
36432,108784
77812,151567
90322,101363
8411,169800
72752,149803
52212,56290
88666,72821
17978,181838
80880,98715
3346,77491
56602,112030
63031,70419
36032,125252
1042,114961
98616,199561
17314,198128
23855,63768
95424,94124
87988,84467
6601,174107
75474,116027
56516,132312
66383,102464
16628,165020
49170,157791
25910,126172
87745,99556
74216,152908
15155,64288
61468,179030
29552,72238
4975,63809
29225,147879
59814,124925
41338,179105
17412,115871
8010,56344
17725,136943
58104,97568
65799,195233
68307,190941
18138,178138
39009,183771
89580,182195
51207,154607
36645,80392
9648,185972
57283,108406
75289,190575
43661,154099
27710,129481
48085,161648
82997,142041
9123,125129
73017,66779
38390,177302
66997,188943
10731,158516
46954,72260
78697,142778
19340,56464
86797,92653
50883,197760
32469,192864
34471,72060
87552,74607
69470,71813
99779,90570
60804,175618
72582,132831
48402,60456
4,115326
80450,65492
50900,157818
80250,69926
95879,102416
63318,103502
12312,80223
9690,138722
7110,103400
61608,92733
71564,86095
40950,140982
48645,78023
92272,160167
82445,62870
7979,128345
54038,103875
76404,107165
98952,140879
73287,127572
5409,88713
84453,195805
18657,147176
77970,90656
44967,154358
82228,55093
40793,144910
40651,103773
94762,151985
10485,129764
68994,99881
46750,59810
95437,61123
7715,194104
88968,153418
96674,188664
97971,69459
29348,72331
89487,55943
58979,117804
15965,119290
85530,175897
71546,181230
80745,131908
33286,145555
42938,114605
48378,133910
93308,126804
23327,133944
38595,79710
6109,82924
67608,181605
3444,155916
12155,122994
15826,128402
71607,151013
65364,196541
97809,189623
23829,107962
50995,143608
86402,58689
14281,178592
76224,107304
56715,186901
18524,163203
18350,111763
64835,155979
69898,112474
45063,95622
75474,59611
68626,90887
8765,130500
46172,159084
90396,120135
53215,158463
20639,73964
76575,161206
26066,120333
94775,140013
79206,62105
95676,167068
37817,126497
54943,88413
807,89020
59102,111844
61255,93642
23880,117892
18967,156440
71146,88237
71086,195610
1206,134348
3182,185324
78278,132465
35888,101994
50400,142545
72274,101623
69684,155017
20100,134551
13893,71882
4680,192665
87731,85755
51850,94572
94946,108775
22817,197528
10413,103902
87201,132108
2709,82129
40232,95947
61963,64003
11776,161684
93189,114644
3772,68242
24330,122111
6948,183133
90501,88370
43906,98130
75753,105035
4036,194952
58867,95221
82627,195085
18910,187766
85021,199548
20559,165071
11737,168745
151,115444
33708,58306
36609,85259
97489,147276
40838,139615
41136,123762
78639,107599
23092,116053
51615,187189
26664,86998
86838,171522
30022,147343
79183,126575
41768,184107
15005,55509
81925,86769
46302,175633
80912,78759
26950,109561
44798,61235
56576,195935
82907,162874
7732,111055
83226,147668
32073,173049
82228,61813
28711,185851
33985,185001
80782,137264
23997,73119
72860,70989
56269,148341
60918,111727
57325,82421
61450,129946
3210,181017
65363,160693
68537,195362
71585,171196
90871,151830
86010,127332
57587,177382
48770,145170
21345,168608
15840,184910
77554,169203
65611,103767
43516,83812
62624,56665
57528,127713
83307,198515
29620,114134
2998,84991
21347,179617
25802,107042
35925,140131
89600,158831
62213,87005
31641,131938
39217,74084
78037,89414
10188,113506
37788,86988
36175,104156
13890,177823
46288,194833
58709,89387
49987,143623
9540,98263
98217,135735
26652,157874
66088,166312
46128,129977
68920,189423
25044,167711
32638,185435
28278,59988
87496,139721
5577,101036
32390,110906
56850,72236
41123,145029
31012,160418
67838,169369
11366,174979
80315,79670
74343,58458
74103,179685
86082,150749
70536,84835
79903,124235
98391,146863
39520,172330
40404,178666
72138,133423
6597,196627
76044,168019
20721,183712
69490,70221
19211,171478
3197,172967
90171,105121
70609,111172
26152,68774
56183,147740
89909,187280
71649,59465
5599,81140
1873,102441
56,73289
90014,76894
56716,75058
59212,109672
60769,153674
94625,138689
1036,62495
50436,196269
46060,183638
75688,59924
83072,174931
44559,93890
74903,165712
25762,71647
55877,162780
17293,170073
46965,61427
70958,157434
16664,82308
65030,97192
28083,180061
29912,182282
73678,103545
52111,174622
71413,80793
62114,162244
24207,110844
89795,174700
79181,121265
16842,121282
68145,87219
13625,127692
91242,169492
36269,193586
31363,91757
15271,84913
41229,175789
95575,93917
56625,71220
33171,170283
56584,62788
35711,92703
68200,120699
78864,64900
31240,113709
76808,112324
2945,194776
42445,130070
23710,134058
82100,158319
44863,106155
37337,88709
95791,183873
79476,141480
66875,117868
14015,199708
29579,175982
99296,117297
51599,92812
41871,136442
56338,171370
42377,175726
42559,89354
49611,102452
84313,103171
46889,151027
20768,83385
59128,55244
55044,101618
9849,122523
6456,100903
60051,73802
29528,86432
64284,87312
42487,141924
66056,121489
55884,91057
74240,184434
12899,108429
58180,119201
85492,193785
49273,179998
10121,110419
1881,190282
17898,178060
45799,73103
80725,95984
97032,129162
18804,149941
94578,131085
82100,137095
83327,102594
51710,93650
53517,112137
29487,165485
24633,130271
91604,199905
51647,192408
57908,180372
